clienteid,evadio,genero,adulto mayor,tiene pareja,tiene dependientes,meses de contrato,servicio telefonico,multilineas,servicio internet,seguridad en linea,respaldo en linea,proteccion de dispositivos,soporte tecnico,television por streaming,suscripcion peliculas,tipo de contrato,factura online,metodo de pago,total del mes,total cliente,cuentas_diarias,cantidad_servicios,evadio_numeric
2434-EEVDB,No,Mujer,0,Si,No,64,Si,Si,Fibra optica,Si,No,Si,No,Si,No,Dos años,Si,Tarjeta de credito (automatico),94.6,5948.7,3.1533333333333333,5,0
2436-QBZFP,No,Mujer,0,Si,Si,22,No,Sin servicio telefonico,DSL,No,Si,No,No,Si,No,Mensual,No,Cheque electronico,39.2,849.9,1.3066666666666669,2,0
2439-LYPMQ,No,Hombre,1,Si,No,38,Si,Si,Fibra optica,No,Si,Si,No,Si,Si,Mensual,Si,Cheque electronico,102.6,4009.2,3.42,6,0
2439-QKJUL,No,Hombre,0,No,No,5,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Cheque por correo,20.25,109.8,0.675,1,0
2446-BEGGB,Si,Mujer,1,No,No,6,Si,Si,Fibra optica,No,Si,No,No,Si,Si,Mensual,Si,Cheque electronico,98.25,560.6,3.275,5,1
2446-PLQVO,Si,Hombre,0,No,No,1,Si,No,Fibra optica,No,No,No,No,No,No,Mensual,Si,Cheque electronico,70.3,70.3,2.3433333333333333,1,1
2446-ZKVAF,No,Hombre,0,Si,No,18,Si,Si,DSL,No,Si,No,No,No,No,Mensual,No,Tarjeta de credito (automatico),56.8,1074.65,1.8933333333333333,3,0
2450-ZKEED,No,Mujer,0,No,No,11,Si,No,DSL,No,No,Si,Si,No,No,Anual,No,Transferencia bancaria (automatico),53.8,651.55,1.7933333333333332,3,0
2451-YMUXS,No,Hombre,1,No,No,67,Si,Si,DSL,Si,Si,No,Si,No,No,Dos años,Si,Transferencia bancaria (automatico),64.55,4250.1,2.1516666666666664,5,0
2452-KDRRH,No,Hombre,1,No,No,67,Si,Si,Fibra optica,No,No,Si,No,Si,Si,Mensual,Si,Tarjeta de credito (automatico),101.4,6841.05,3.3800000000000003,5,0
2452-MRMZF,No,Mujer,1,Si,No,72,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,Si,Tarjeta de credito (automatico),25.7,1937.4,0.8566666666666667,2,0
2452-SNHFZ,No,Mujer,0,No,No,47,Si,No,Fibra optica,Si,No,No,No,No,No,Mensual,No,Tarjeta de credito (automatico),75.45,3545.1,2.515,2,0
2453-SAFNS,No,Mujer,1,No,No,54,Si,Si,DSL,No,Si,No,Si,Si,No,Anual,No,Cheque por correo,72.1,3886.05,2.4033333333333333,5,0
2454-RPBRZ,Si,Mujer,1,Si,No,12,Si,Si,Fibra optica,No,Si,Si,No,Si,No,Mensual,Si,Cheque electronico,98.1,1060.2,3.27,5,1
2455-USLMV,No,Mujer,0,No,No,31,Si,Si,Fibra optica,Si,No,Si,No,No,No,Mensual,Si,Tarjeta de credito (automatico),84.75,2613.4,2.825,4,0
2458-EOMRE,No,Mujer,0,No,No,11,Si,No,DSL,Si,No,Si,No,No,Si,Mensual,No,Transferencia bancaria (automatico),64.05,733.95,2.135,4,0
2460-FPSYH,Si,Mujer,1,No,No,40,No,Sin servicio telefonico,DSL,Si,Si,No,No,Si,Si,Mensual,Si,Cheque electronico,55.8,2109.35,1.8599999999999999,4,1
2460-NGXBJ,No,Hombre,1,Si,Si,11,Si,Si,Fibra optica,No,No,No,No,No,No,Mensual,Si,Tarjeta de credito (automatico),75.2,775.3,2.506666666666667,2,0
2462-XIIJB,Si,Hombre,0,No,No,5,Si,Si,Fibra optica,No,No,Si,No,Si,No,Mensual,Si,Cheque electronico,92.5,452.7,3.0833333333333335,4,1
2465-BLLEU,No,Hombre,0,No,No,1,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,Si,Cheque por correo,19.75,19.75,0.6583333333333333,1,0
2466-FCCPT,No,Mujer,0,Si,Si,20,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Anual,No,Transferencia bancaria (automatico),19.7,395.6,0.6566666666666666,1,0
2466-NEJOJ,No,Hombre,0,Si,Si,8,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Tarjeta de credito (automatico),19.65,169.75,0.6549999999999999,1,0
2468-SJFLM,No,Hombre,0,No,No,1,Si,No,Fibra optica,No,No,No,Si,No,No,Mensual,Si,Cheque por correo,74.3,74.3,2.4766666666666666,2,0
2469-DTSGX,No,Mujer,1,No,No,72,Si,Si,Fibra optica,No,Si,Si,Si,Si,Si,Dos años,No,Cheque electronico,111.65,7943.45,3.7216666666666667,7,0
2472-OVKUP,Si,Hombre,0,Si,No,6,Si,No,Fibra optica,No,Si,Si,No,No,Si,Mensual,Si,Cheque electronico,91.0,531.0,3.033333333333333,4,1
2474-BRUCM,Si,Hombre,1,Si,No,40,Si,Si,Fibra optica,Si,No,No,No,Si,Si,Mensual,No,Cheque electronico,101.85,4086.3,3.395,5,1
2474-LCNUE,No,Mujer,0,Si,No,23,Si,Si,DSL,No,No,No,Si,Si,Si,Mensual,Si,Tarjeta de credito (automatico),73.65,1642.75,2.455,5,0
2475-MROZF,No,Hombre,0,No,No,30,Si,Si,Fibra optica,Si,Si,Si,Si,No,No,Mensual,Si,Tarjeta de credito (automatico),95.0,2852.4,3.1666666666666665,6,0
2476-YGEFM,No,Mujer,0,No,No,29,Si,Si,Fibra optica,No,No,No,No,No,No,Mensual,Si,Tarjeta de credito (automatico),76.0,2215.25,2.533333333333333,2,0
2478-EEWWM,No,Hombre,0,Si,No,59,No,Sin servicio telefonico,DSL,No,No,No,No,Si,Si,Mensual,Si,Cheque electronico,44.3,2666.75,1.4766666666666666,2,0
2479-BRAMR,Si,Hombre,1,Si,No,41,Si,Si,Fibra optica,Si,No,Si,No,No,No,Mensual,Si,Transferencia bancaria (automatico),83.75,3273.55,2.7916666666666665,4,1
2480-EJWYP,No,Mujer,1,Si,No,58,Si,Si,Fibra optica,No,Si,No,No,Si,Si,Anual,Si,Transferencia bancaria (automatico),97.8,5458.8,3.26,5,0
2480-JZOSN,No,Mujer,0,Si,No,1,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,Si,Cheque por correo,20.65,20.65,0.6883333333333332,1,0
2480-SQIOB,No,Hombre,0,Si,Si,4,Si,No,DSL,No,No,No,No,No,No,Mensual,No,Cheque electronico,44.8,169.65,1.4933333333333332,1,0
2481-SBOYW,No,Mujer,0,No,Si,61,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,Si,Tarjeta de credito (automatico),25.0,1498.35,0.8333333333333334,2,0
2482-CZGBB,Si,Hombre,0,No,No,10,Si,No,Fibra optica,No,No,No,No,No,No,Mensual,Si,Cheque electronico,70.0,740.0,2.3333333333333335,1,1
2483-XSSMZ,No,Mujer,0,No,No,39,Si,No,DSL,Si,No,No,No,No,No,Anual,Si,Cheque electronico,47.85,1886.4,1.595,2,0
2484-DGXPZ,Si,Mujer,0,Si,Si,31,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,Si,Cheque por correo,19.55,658.95,0.6516666666666667,1,1
2485-ITVKB,Si,Mujer,0,Si,No,2,No,Sin servicio telefonico,DSL,No,No,No,No,No,Si,Mensual,Si,Cheque electronico,35.1,68.75,1.1700000000000002,1,1
2486-WYVVE,No,Hombre,0,Si,No,31,Si,Si,DSL,No,No,Si,Si,Si,Si,Anual,Si,Cheque por correo,79.3,2484.0,2.643333333333333,6,0
2495-INZWQ,Si,Hombre,0,No,No,4,No,Sin servicio telefonico,DSL,No,No,No,No,Si,Si,Mensual,Si,Cheque electronico,44.55,174.3,1.4849999999999999,2,1
2495-KZNFB,No,Mujer,0,No,No,33,Si,Si,Fibra optica,Si,No,No,No,No,Si,Mensual,Si,Cheque electronico,90.65,2989.6,3.021666666666667,4,0
2495-TTHBQ,No,Mujer,0,No,Si,4,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Anual,Si,Cheque por correo,20.4,84.75,0.6799999999999999,1,0
2498-XLDZR,No,Mujer,0,Si,Si,32,Si,No,DSL,Si,Si,Si,Si,No,Si,Dos años,No,Cheque por correo,73.6,2316.85,2.453333333333333,6,0
2499-AJYUA,No,Mujer,1,Si,No,72,Si,Si,Fibra optica,No,Si,Si,Si,Si,Si,Dos años,Si,Tarjeta de credito (automatico),110.8,7882.25,3.6933333333333334,7,0
2501-XWWTZ,No,Hombre,0,No,No,11,Si,No,Fibra optica,No,No,No,No,No,No,Mensual,No,Cheque electronico,70.2,760.05,2.3400000000000003,1,0
2504-DSHIH,No,Hombre,1,Si,No,23,Si,Si,Fibra optica,No,No,No,No,No,Si,Mensual,No,Cheque electronico,86.8,1975.85,2.893333333333333,3,0
2506-CLAKW,Si,Mujer,0,No,No,6,Si,No,Fibra optica,Si,Si,Si,Si,No,Si,Mensual,Si,Transferencia bancaria (automatico),98.15,567.45,3.271666666666667,6,1
2506-TNFCO,Si,Mujer,1,Si,No,1,Si,No,Fibra optica,No,No,No,No,No,No,Mensual,Si,Cheque electronico,69.55,69.55,2.3183333333333334,1,1
2507-QZPQS,No,Hombre,0,No,No,15,Si,Si,Fibra optica,No,Si,No,Si,No,Si,Mensual,No,Cheque electronico,95.7,1451.1,3.19,5,0
2509-TFPJU,No,Hombre,0,Si,No,72,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Tarjeta de credito (automatico),25.75,1864.2,0.8583333333333333,2,0
2511-ALLCS,No,Mujer,0,Si,Si,35,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Transferencia bancaria (automatico),24.3,821.6,0.81,2,0
2511-MORQY,No,Hombre,0,Si,Si,50,Si,Si,DSL,No,No,Si,No,No,No,Anual,No,Transferencia bancaria (automatico),54.9,2614.1,1.8299999999999998,3,0
2514-GINMM,Si,Hombre,0,No,No,1,Si,No,Fibra optica,No,No,No,No,Si,No,Mensual,Si,Cheque electronico,79.5,79.5,2.65,2,1
2516-VQRRV,Si,Mujer,1,No,No,2,Si,Si,Fibra optica,No,No,No,No,No,No,Mensual,Si,Cheque por correo,75.45,158.4,2.515,2,1
2516-XSJKX,No,Mujer,0,Si,Si,41,Si,No,DSL,Si,Si,No,Si,Si,Si,Dos años,No,Cheque electronico,78.45,3126.45,2.615,6,0
2519-ERQOJ,No,Hombre,1,No,No,33,No,Sin servicio telefonico,DSL,No,No,Si,Si,Si,Si,Mensual,Si,Cheque electronico,54.6,1803.7,1.82,4,0
2519-FAKOD,Si,Hombre,0,No,Si,38,Si,Si,Fibra optica,No,No,Si,No,Si,Si,Mensual,Si,Transferencia bancaria (automatico),99.25,3777.15,3.308333333333333,5,1
2519-LBNQL,No,Hombre,1,Si,No,60,Si,Si,Fibra optica,No,Si,Si,No,Si,Si,Anual,Si,Cheque electronico,104.35,6339.45,3.478333333333333,6,0
2519-TWKFS,No,Hombre,0,Si,Si,25,Si,Si,DSL,No,No,No,Si,No,No,Anual,Si,Cheque por correo,55.1,1466.1,1.8366666666666667,3,0
2520-SGTTA,No,Mujer,0,Si,Si,0,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Cheque por correo,20.0,,0.6666666666666666,1,0
2521-NPUZR,No,Hombre,0,Si,No,70,Si,No,Fibra optica,Si,Si,Si,Si,No,Si,Dos años,No,Tarjeta de credito (automatico),101.0,7085.5,3.3666666666666667,6,0
2522-AHJXR,No,Hombre,0,Si,No,60,Si,Si,Fibra optica,Si,No,Si,Si,Si,Si,Mensual,Si,Transferencia bancaria (automatico),109.45,6572.85,3.6483333333333334,7,0
2522-WLNSF,No,Mujer,1,Si,No,34,Si,No,DSL,No,No,Si,Si,Si,No,Anual,No,Transferencia bancaria (automatico),64.2,2106.3,2.14,4,0
2523-EWWZL,No,Mujer,0,Si,No,27,Si,No,Fibra optica,No,Si,No,No,No,No,Mensual,Si,Cheque electronico,76.1,2093.4,2.5366666666666666,2,0
2525-GVKQU,No,Mujer,0,No,No,60,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Cheque por correo,20.6,1093.0,0.6866666666666668,1,0
2528-HFYZX,Si,Hombre,1,Si,No,17,Si,No,Fibra optica,No,Si,No,No,No,No,Mensual,Si,Cheque electronico,76.45,1233.4,2.5483333333333333,2,1
2530-ENDWQ,Si,Mujer,0,Si,No,71,Si,Si,Fibra optica,No,No,No,No,Si,Si,Dos años,Si,Transferencia bancaria (automatico),93.7,6585.35,3.1233333333333335,4,1
2530-FMFXO,No,Hombre,0,Si,Si,56,Si,Si,Fibra optica,No,No,Si,Si,Si,Si,Dos años,Si,Cheque electronico,103.2,5873.75,3.44,6,0
2533-QVMSK,Si,Hombre,0,Si,No,61,Si,Si,Fibra optica,No,Si,No,Si,Si,No,Dos años,Si,Cheque electronico,94.1,5638.3,3.1366666666666663,5,1
2533-TIBIX,No,Hombre,0,Si,Si,15,No,Sin servicio telefonico,DSL,Si,No,No,No,No,No,Mensual,Si,Transferencia bancaria (automatico),30.2,469.65,1.0066666666666666,1,0
2535-PBCGC,No,Mujer,0,Si,No,70,No,Sin servicio telefonico,DSL,Si,Si,Si,Si,Si,Si,Dos años,No,Transferencia bancaria (automatico),64.55,4504.9,2.1516666666666664,6,0
2538-OIMXF,No,Mujer,0,No,Si,1,No,Sin servicio telefonico,DSL,No,No,No,No,No,No,Mensual,No,Cheque por correo,24.7,24.7,0.8233333333333334,0,0
2541-YGPKE,No,Hombre,0,Si,Si,42,Si,No,DSL,Si,No,No,Si,No,Si,Anual,No,Tarjeta de credito (automatico),63.7,2763.35,2.1233333333333335,4,0
2542-HYGIQ,No,Mujer,0,No,No,1,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Tarjeta de credito (automatico),19.95,19.95,0.6649999999999999,1,0
2545-EBUPK,No,Mujer,1,No,No,2,Si,Si,Fibra optica,No,No,No,No,No,Si,Mensual,Si,Cheque electronico,84.05,186.05,2.8016666666666667,3,0
2545-LXYVJ,No,Hombre,0,Si,No,72,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Transferencia bancaria (automatico),20.7,1492.1,0.69,1,0
2546-KZAAT,No,Hombre,0,Si,No,52,Si,No,DSL,Si,Si,No,No,Si,Si,Anual,Si,Cheque por correo,75.4,3865.45,2.5133333333333336,5,0
2550-AEVRU,No,Mujer,0,Si,Si,57,Si,No,DSL,Si,Si,No,No,No,No,Anual,No,Cheque electronico,53.45,3053.0,1.7816666666666667,3,0
2550-QHZGP,No,Hombre,0,No,No,7,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Anual,No,Cheque por correo,19.5,128.6,0.65,1,0
2558-BUOZZ,No,Hombre,0,No,No,47,Si,Si,Fibra optica,Si,Si,No,No,Si,No,Anual,No,Transferencia bancaria (automatico),94.8,4535.85,3.1599999999999997,5,0
2560-PPCHE,No,Mujer,0,No,No,65,Si,Si,Fibra optica,No,Si,No,Si,Si,Si,Anual,Si,Transferencia bancaria (automatico),105.05,6744.25,3.5016666666666665,6,0
2560-QTSBS,No,Mujer,0,Si,Si,72,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Anual,Si,Transferencia bancaria (automatico),23.3,1623.15,0.7766666666666667,2,0
2560-WBWXF,No,Hombre,0,No,No,68,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,Si,Transferencia bancaria (automatico),24.15,1498.85,0.8049999999999999,2,0
2565-JSLRY,Si,Hombre,0,No,No,1,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,Si,Cheque por correo,24.05,24.05,0.8016666666666666,2,1
2568-BRGYX,Si,Hombre,0,No,No,4,Si,No,Fibra optica,No,No,No,No,No,No,Mensual,Si,Cheque electronico,70.2,237.95,2.3400000000000003,1,1
2568-OIADY,Si,Mujer,0,Si,No,37,Si,Si,Fibra optica,No,No,Si,No,Si,Si,Mensual,Si,Cheque electronico,99.5,3762.0,3.316666666666667,5,1
2569-WGERO,No,Mujer,0,No,No,72,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,Si,Transferencia bancaria (automatico),21.15,1419.4,0.705,1,0
2573-GYRUU,No,Hombre,1,Si,No,48,Si,Si,Fibra optica,No,No,Si,No,No,Si,Mensual,Si,Tarjeta de credito (automatico),91.05,4370.75,3.0349999999999997,4,0
2575-GFSOE,Si,Mujer,0,Si,Si,7,Si,No,Fibra optica,No,No,No,No,No,No,Mensual,Si,Cheque electronico,69.0,506.9,2.3,1,1
2576-HXMPA,No,Mujer,0,No,No,1,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Tarjeta de credito (automatico),19.55,19.55,0.6516666666666667,1,0
2577-GVSIL,No,Hombre,0,Si,Si,35,Si,Si,DSL,No,No,No,Si,Si,Si,Anual,Si,Transferencia bancaria (automatico),73.45,2661.1,2.4483333333333333,5,0
2578-JQPHZ,No,Hombre,0,No,No,44,Si,No,Fibra optica,No,No,Si,Si,Si,Si,Dos años,No,Transferencia bancaria (automatico),100.1,4378.35,3.3366666666666664,5,0
2580-ASVVY,No,Mujer,0,Si,No,37,No,Sin servicio telefonico,DSL,Si,No,No,Si,Si,No,Dos años,No,Cheque electronico,45.4,1593.1,1.5133333333333332,3,0
2580-ATZSQ,No,Mujer,0,Si,Si,65,Si,No,DSL,Si,Si,Si,No,No,No,Anual,No,Transferencia bancaria (automatico),61.35,3874.1,2.045,4,0
2581-VKIRT,No,Mujer,0,Si,Si,59,Si,Si,DSL,Si,Si,No,Si,No,No,Anual,No,Cheque por correo,65.5,3801.3,2.183333333333333,5,0
2582-FFFZR,No,Mujer,0,No,No,22,No,Sin servicio telefonico,DSL,No,No,Si,No,Si,Si,Mensual,Si,Cheque electronico,50.6,1073.3,1.6866666666666668,3,0
2585-KTFRE,No,Hombre,0,No,Si,1,Si,No,DSL,Si,Si,No,Si,No,Si,Mensual,Si,Transferencia bancaria (automatico),70.45,70.45,2.3483333333333336,5,0
2586-CWXVV,No,Hombre,0,Si,No,54,No,Sin servicio telefonico,DSL,No,Si,No,No,No,No,Mensual,No,Cheque electronico,30.4,1621.35,1.0133333333333332,1,0
2587-EKXTS,No,Hombre,0,No,No,44,Si,Si,Fibra optica,Si,Si,Si,No,Si,Si,Mensual,Si,Cheque electronico,111.5,4915.15,3.716666666666667,7,0
2587-YNLES,No,Mujer,0,Si,Si,6,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Cheque por correo,20.1,100.35,0.67,1,0
2589-AYCRP,No,Mujer,0,No,No,50,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Anual,No,Transferencia bancaria (automatico),19.75,989.05,0.6583333333333333,1,0
2592-HODOV,No,Hombre,0,No,No,13,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Anual,No,Tarjeta de credito (automatico),19.3,259.65,0.6433333333333333,1,0
2592-SEIFQ,Si,Hombre,0,No,No,3,No,Sin servicio telefonico,DSL,No,No,No,No,No,No,Mensual,No,Cheque electronico,24.75,66.95,0.825,0,1
2592-YKDIF,No,Mujer,0,No,No,1,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Cheque por correo,20.35,20.35,0.6783333333333333,1,0
2595-KIWPV,No,Hombre,0,No,Si,27,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Tarjeta de credito (automatico),19.7,509.3,0.6566666666666666,1,0
2599-CIPQE,No,Hombre,0,Si,Si,71,Si,No,Fibra optica,Si,Si,Si,Si,Si,Si,Dos años,No,Tarjeta de credito (automatico),109.3,7782.85,3.643333333333333,7,0
2599-CZABP,No,Hombre,0,Si,No,14,Si,No,DSL,No,No,No,No,No,No,Anual,No,Cheque electronico,44.6,641.25,1.4866666666666668,1,0
2603-HVKCG,No,Hombre,0,No,No,31,Si,No,Fibra optica,No,Si,Si,No,Si,Si,Mensual,Si,Cheque electronico,101.4,3143.65,3.3800000000000003,5,0
2604-IJPDU,No,Mujer,0,Si,No,20,Si,No,Fibra optica,Si,Si,No,Si,Si,No,Mensual,Si,Cheque electronico,96.55,1901.65,3.2183333333333333,5,0
2604-XVDAM,No,Mujer,0,No,No,12,Si,No,DSL,No,No,No,No,No,No,Mensual,No,Transferencia bancaria (automatico),43.8,540.95,1.46,1,0
2606-PKWJB,No,Hombre,0,No,Si,40,No,Sin servicio telefonico,DSL,Si,Si,No,Si,No,No,Anual,No,Cheque por correo,40.25,1564.05,1.3416666666666666,3,0
2606-RMDHZ,Si,Hombre,0,No,No,6,No,Sin servicio telefonico,DSL,No,Si,No,No,No,No,Mensual,Si,Tarjeta de credito (automatico),30.5,208.7,1.0166666666666666,1,1
2607-DHDAK,No,Hombre,0,Si,Si,72,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,Si,Tarjeta de credito (automatico),19.8,1414.65,0.66,1,0
2607-FBDFF,No,Hombre,0,No,No,1,Si,No,DSL,No,No,No,Si,No,No,Mensual,No,Tarjeta de credito (automatico),49.0,49.0,1.6333333333333333,2,0
2608-BHKFN,Si,Mujer,0,No,No,4,Si,No,Fibra optica,No,No,No,No,No,No,Mensual,Si,Tarjeta de credito (automatico),70.05,266.9,2.335,1,1
2609-IAICY,Si,Mujer,0,No,No,1,Si,Si,Fibra optica,No,No,No,No,No,No,Mensual,Si,Cheque electronico,77.15,77.15,2.5716666666666668,2,1
2612-PHGOX,No,Hombre,0,Si,No,64,Si,Si,DSL,No,Si,Si,Si,Si,No,Dos años,Si,Transferencia bancaria (automatico),76.1,4818.8,2.5366666666666666,6,0
2612-RANWT,Si,Mujer,0,No,No,12,Si,Si,Fibra optica,No,No,Si,No,Si,Si,Mensual,Si,Transferencia bancaria (automatico),100.15,1164.3,3.3383333333333334,5,1
2612-RRIDN,Si,Hombre,0,No,No,4,Si,No,Fibra optica,No,No,No,No,Si,No,Mensual,Si,Cheque electronico,81.0,340.85,2.7,2,1
2615-YVMYX,No,Hombre,1,Si,No,71,Si,Si,Fibra optica,Si,Si,Si,No,Si,Si,Mensual,Si,Cheque electronico,107.5,7713.55,3.5833333333333335,7,0
2616-FLVQC,No,Hombre,0,No,No,64,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Cheque por correo,19.55,1240.15,0.6516666666666667,1,0
2616-UUTFK,No,Hombre,0,Si,No,33,Si,Si,DSL,Si,Si,Si,No,Si,No,Mensual,Si,Transferencia bancaria (automatico),72.75,2447.45,2.425,6,0
2619-WFQWU,Si,Mujer,0,No,No,1,Si,No,Fibra optica,No,No,No,No,No,No,Mensual,Si,Cheque por correo,70.15,70.15,2.3383333333333334,1,1
2621-UDNLU,No,Mujer,0,Si,No,3,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Cheque por correo,20.85,72.0,0.6950000000000001,1,0
2623-DRYAM,No,Mujer,0,Si,No,70,Si,Si,Fibra optica,No,No,Si,No,Si,Si,Anual,Si,Cheque electronico,101.75,7069.3,3.3916666666666666,5,0
2625-TRCZQ,No,Mujer,0,Si,No,51,No,Sin servicio telefonico,DSL,No,Si,No,No,Si,Si,Mensual,Si,Cheque electronico,49.65,2553.35,1.655,3,0
2626-URJFX,Si,Hombre,0,Si,Si,4,Si,Si,DSL,No,No,No,No,No,No,Mensual,Si,Cheque electronico,50.9,225.6,1.6966666666666665,2,1
2626-VEEWG,No,Hombre,0,Si,Si,67,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,Si,Tarjeta de credito (automatico),19.4,1284.2,0.6466666666666666,1,0
2632-IVXVF,No,Mujer,0,Si,Si,68,Si,Si,Fibra optica,Si,No,Si,Si,Si,Si,Dos años,No,Tarjeta de credito (automatico),111.75,7511.3,3.725,7,0
2632-TACXW,No,Mujer,0,Si,No,62,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Transferencia bancaria (automatico),23.65,1416.75,0.7883333333333333,2,0
2632-UCGVD,Si,Hombre,1,Si,No,66,Si,Si,Fibra optica,No,No,No,Si,Si,Si,Mensual,Si,Tarjeta de credito (automatico),100.05,6871.9,3.335,5,1
2634-HCZGT,Si,Hombre,1,Si,No,53,Si,Si,DSL,Si,No,No,Si,No,No,Anual,Si,Cheque electronico,60.05,3229.65,2.0016666666666665,4,1
2636-ALXXZ,Si,Mujer,1,No,No,1,Si,No,Fibra optica,No,No,No,No,No,No,Mensual,Si,Cheque electronico,69.6,69.6,2.32,1,1
2636-OHFMN,Si,Hombre,0,Si,No,4,No,Sin servicio telefonico,DSL,No,Si,No,No,Si,Si,Mensual,Si,Cheque electronico,48.55,201.0,1.6183333333333332,3,1
2636-SJDOU,No,Hombre,0,No,No,64,Si,Si,Fibra optica,Si,Si,No,No,No,No,Anual,Si,Tarjeta de credito (automatico),84.3,5289.05,2.81,4,0
2637-FKFSY,No,Mujer,0,Si,No,3,Si,No,DSL,No,No,No,No,No,No,Mensual,Si,Cheque por correo,46.1,130.15,1.5366666666666666,1,0
2639-UGMAZ,No,Hombre,1,No,No,71,No,Sin servicio telefonico,DSL,Si,Si,No,No,Si,Si,Anual,Si,Cheque electronico,56.45,3985.35,1.8816666666666668,4,0
2640-LYMOV,No,Hombre,0,No,No,2,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,Si,Cheque por correo,19.65,38.8,0.6549999999999999,1,0
